n,Par,Description,Best,,,R2=0.23,
0,0.01,v_diff_M,0.008367453,0.01,,0.008367453,0.003912853
1,9.00E-03,v_diff_S,9.07E-05,8.00E-03,,9.07E-05,0.007152599
2,0.010095866,v_diff_R,0.010095866,0.010095866,,0.010095866,0.007721643
3,0.01,v_diff_P,0.02664118,0.01,,0.024,0.004330505
4,4.00E-05,K_decomp_M,1.84E-05,4.00E-05,,1.84E-05,0.000713501
5,0.000153547,K_decomp_S,0.000153547,0.000153547,,0.000153547,0.000522054
6,0.000200394,K_decomp_R,0.000314147,0.000200394,,0.000200394,0.000541323
7,5.04E-05,K_decomp_P,6.10E-05,5.04E-05,,5.04E-05,0.000771746
8,1.00E-04,K_des_M,9.45E-05,1.00E-04,,9.45E-05,0.000822252
9,0.000183162,K_des_S,0.001470516,0.000183162,,0.001831615,0.000347689
10,0.000112878,K_des_R,0.000172951,0.000112878,,0.000112878,4.46E-05
11,0.00048009,K_des_P,0.000545931,0.00048009,,0.00048009,0.0005918
12,2.93E-05,K_ads_M,1.93E-05,2.93E-05,,2.93E-05,0.000635623
13,1.27E-05,K_ads_S,1.09E-05,1.27E-05,,1.27E-05,0.000364235
14,1.36E-05,K_ads_R,2.47E-05,1.36E-05,,1.36E-05,0.000943822
15,2.20E-06,K_ads_P,2.09E-06,2.20E-06,,2.20E-06,0.00079004
16,18.69491725,C1_c,19.74920105,18.69491725,,18.69491725,3.664575943
17,0.604716009,C2_c,0.656144326,0.604716009,,0.604716009,0.892681855
18,19,C1_s,0.043038407,19,,0.55,6.311645182
19,0.300155061,C2_s,0.406375926,0.300155061,,0.300155061,0.679364247
20,3.75E-06,d_c,3.75E-06,3.75E-06,,3.75E-06,1.96E-05
21,3.00E-04,d_s,3.42E-05,3.00E-04,,4.60E-05,0.000290598
22,0.34,tau_cr,0.381721579,0.35,,0.388,0.377419203
23,1.5,Td,1.803686767,1.5,,1.992036252,5.206341308
