Week_n,C1,C2,C3,C4,C5,C6
1,8135,17807,20793,22867,20159.34039,18523
2,7254,17461,20735,22954,20115.56545,18555
3,6527,17264,20801,23291,20191.47382,18679
4,6043,17247,20991,23859,20387.62763,18897
5,5875,17444,21324,24644,20719.12263,19224
6,6085,17897,21832,25638,21216.69176,19691
7,6713,18649,22566,26845,21925.82512,20339
8,7779,19744,23587,28277,22903.90624,21223
9,9278,21226,24967,29956,24215.36477,22403
10,11180,23124,26776,31912,25924.84546,23941
11,13423,25455,29073,34175,28088.39344,25891
12,15920,28210,31901,36776,30742.65598,28289
13,18547,31345,35263,39740,33892.10041,31144
14,21151,34769,39115,43074,37494.24858,34427
15,23545,38335,43342,46764,41442.92748,38047
16,25505,41819,47742,50763,45549.53634,41847
17,26778,44911,52000,54981,49522.33,45574
18,27072,47195,55667,59270,52943.71865,48868
19,26065,48131,58131,63415,55245.5839,51235
20,23399,47034,58590,67114,55682.61122,52025
21,18687,43055,56019,69968,53303.63867,50406
22,11510,35156,49139,67649,46921.02206,45338
23,5965,26546,44200,56543,43938.15714,43726
24,4971,17357,42000,46446,41751.19004,41550
25,4288,15315,36768,42407,36550.18466,36374
26,3977,12252,26374,35610,25056.85019,22356
27,2680,8503,15162,24348,15054.52219,14889
28,2144,6655,12905,18359,12791.74665,11398
29,1608,5205,10758,16907,10704.64813,9277
30,1169,5390,10237,17717,10063.8923,8449
31,678,5914,9962,18343,9657.78976,8011
32,403,5796,8972,17107,8641.66059,7300
33,299,4679,7000,13610,6788.063785,6068
34,303,2889,4530,8831,4532.948314,4525
35,351,1278,2613,4791,2817.725688,3252
36,394,824,2451,3800,2727.264063,2969
37,418,2001,4755,7278,4923.803879,4186
38,465,3925,8867,14154,8876.795037,6707
39,651,3253,11653,18840,11888.65561,9009
40,795,4869,14338,22260,14161.16441,10691
41,1617,11831,20871,29216,20283.32861,16407
42,3965,16427,27913,32238,27727.25424,27475
43,6170,19267,26240,31951,25309.87,21405
44,8080,20834,26623,31828,25663.15759,21968
45,9597,21511,26211,30920,25268.74426,21851
46,10670,21588,25378,29587,24478.95959,21366
47,11286,21284,24387,28097,23540.52949,20731
48,11467,20760,23409,26641,22615.51638,20089
49,11260,20128,22547,25348,21800.27571,19525
50,10735,19470,21850,24297,21142.42881,19082
51,9975,18839,21332,23528,20655.85213,18773
52,9076,18275,20986,23053,20334,18591
