Day,S-80_L1,S-77_L1,S-77_L1_WSE_Run25,S-80_L2,S-77_L2,S-77_L2_WSE_Run25,S-80_L3,S-77_L3,S-80_ZoneC,S-77_ZoneC,S-80_ZoneB,S-77_ZoneB,S-80_ZoneA,S-77_ZoneA
1,1200,1400,1000,1500,1700,1500,1800,2000,2500,4500,3500,6500,7200,7800
2,1600,3200,2800,2000,4400,4200,2400,5500,2500,4500,3500,6500,7200,7800
3,1400,3700,3300,1800,5200,5000,2100,6500,2500,4500,3500,6500,7200,7800
4,1000,2800,2400,1200,4000,3800,1500,5000,2500,4500,3500,6500,7200,7800
5,700,2400,2000,900,3200,3000,1000,4000,2500,4500,3500,6500,7200,7800
6,600,1900,1500,700,2400,2200,900,3000,2500,4500,3500,6500,7200,7800
7,400,1600,1200,500,1700,1500,600,2000,2500,4500,3500,6500,7200,7800
8,400,1200,800,500,1000,800,600,1000,2500,4500,3500,6500,7200,7800
9,0,900,500,400,700,500,400,500,2500,4500,3500,6500,7200,7800
10,0,900,500,0,700,500,400,500,2500,4500,3500,6500,7200,7800
