date,N_Chla
1/31/2008,18.62210728
2/29/2008,16.26385443
3/31/2008,19.47837299
4/30/2008,26.48836778
5/31/2008,30.58096637
6/30/2008,18.50116959
7/31/2008,24.62109575
8/31/2008,16.33956942
9/30/2008,13.36810662
10/31/2008,11.56948049
11/30/2008,8.403480965
12/31/2008,5.192204301
1/31/2009,5.487173579
2/28/2009,5.900353218
3/31/2009,11.2352808
4/30/2009,15.56897969
5/31/2009,18.273562
6/30/2009,19.69742034
7/31/2009,22.38181562
8/31/2009,21.11891961
9/30/2009,16.7484127
10/31/2009,21.68072197
11/30/2009,25.86484127
12/31/2009,13.71344086
1/31/2010,8.363200641
2/28/2010,9.254432624
3/31/2010,9.530631544
4/30/2010,6.245579942
5/31/2010,11.11567917
6/30/2010,20.48672439
7/31/2010,26.89977673
8/31/2010,44.25319564
9/30/2010,76.57232538
10/31/2010,32.27004608
11/30/2010,19.16368386
12/31/2010,10.95752048
1/31/2011,10.20974611
2/28/2011,14.84395141
3/31/2011,15.61056859
4/30/2011,13.54478472
5/31/2011,14.60765874
6/30/2011,17.64247115
7/31/2011,9.102254992
8/31/2011,17.05844566
9/30/2011,20.51185218
10/31/2011,16.72686124
11/30/2011,11.22931987
12/31/2011,9.344730684
1/31/2012,8.181893047
2/29/2012,10.9394507
3/31/2012,14.28009108
4/30/2012,16.99141071
5/31/2012,18.5874904
6/30/2012,29.07207325
7/31/2012,18.4165605
8/31/2012,15.8334147
9/30/2012,20.84245873
10/31/2012,20.63892956
11/30/2012,14.29544898
12/31/2012,8.23078341
1/31/2013,9.568538899
2/28/2013,13.71413929
3/31/2013,15.92582274
4/30/2013,15.57248765
5/31/2013,34.3567503
6/30/2013,62.3124697
7/31/2013,29.79621212
8/31/2013,28.71027906
9/30/2013,27.38798942
10/31/2013,36.79761905
11/30/2013,26.59001082
12/31/2013,11.68342083
1/31/2014,20.04426734
2/28/2014,25.84511395
3/31/2014,16.15167615
4/30/2014,34.39052874
5/31/2014,66.14747603
6/30/2014,62.68797909
7/31/2014,32.89874853
8/31/2014,34.71005563
9/30/2014,42.34033598
10/31/2014,27.60519201
11/30/2014,23.34002381
12/31/2014,16.05761137
1/31/2015,11.25218126
2/28/2015,18.59226616
3/31/2015,25.30099923
4/30/2015,15.5904
5/31/2015,22.94242424
6/30/2015,28.51133939
7/31/2015,18.50882437
8/31/2015,26.55600358
9/30/2015,27.56195238
10/31/2015,24.14122517
11/30/2015,29.96078161
12/31/2015,23.31422764
1/31/2016,25.88649572
2/29/2016,20.22003135
3/31/2016,12.07380952
4/30/2016,10.3565873
5/31/2016,17.79210958
6/30/2016,33.85271399
7/31/2016,39.47691249
8/31/2016,40.59067868
9/30/2016,40.55428571
10/31/2016,28.2718894
11/30/2016,20.18842593
12/31/2016,18.134319
1/31/2017,15.2737931
2/28/2017,13.53599706
3/31/2017,13.15016158
4/30/2017,28.65749525
5/31/2017,25.24715395
6/30/2017,28.53115079
7/31/2017,33.16650538
8/31/2017,39.72751767
9/30/2017,23.36749437
10/31/2017,14.27635875
11/30/2017,11.54347619
12/31/2017,5.517917515
1/31/2018,5.547750688
2/28/2018,5.624392007
3/31/2018,7.686770353
4/30/2018,13.40190476
5/31/2018,21.64380952
6/30/2018,27.45565079
7/31/2018,28.8000768
8/31/2018,20.55322581
9/30/2018,22.65071429
10/31/2018,24.6328725
11/30/2018,28.21309524
12/31/2018,16.33366667
1/31/2019,17.80247005
2/28/2019,18.96333333
3/31/2019,19.42388633
4/30/2019,17.72436508
5/31/2019,19.14768049
6/30/2019,22.76441643
7/31/2019,23.8033374
8/31/2019,23.31831345
9/30/2019,26.94627451
10/31/2019,33.41428571
11/30/2019,19.51176587
12/31/2019,12.3377509
1/31/2020,17.30520225
2/29/2020,24.89206349
3/31/2020,23.31621864
4/30/2020,26.17035714
5/31/2020,36.53888101
6/30/2020,39.24141026
7/31/2020,44.29869432
8/31/2020,30.0249616
9/30/2020,35.03615385
10/31/2020,33.84347119
11/30/2020,15.23598148
12/31/2020,15.25275218
1/31/2021,8.782859191
2/28/2021,11.56880178
3/31/2021,10.22567997
4/30/2021,14.82029982
5/31/2021,23.27609575
6/30/2021,20.00807407
7/31/2021,25.00729647
8/31/2021,23.85080389
9/30/2021,32.03861376
10/31/2021,38.7718894
11/30/2021,23.66044127
12/31/2021,20.03914286
1/31/2022,22.77680338
2/28/2022,23.53289286
3/31/2022,26.44574501
4/30/2022,20.56878968
5/31/2022,42.06569508
6/30/2022,74.38683333
7/31/2022,46.43674347
8/31/2022,34.73602151
9/30/2022,36.16349206
10/31/2022,25.44060292
11/30/2022,19.85367063
12/31/2022,9.910138249
1/31/2023,6.673890169
2/28/2023,6.89797619
3/31/2023,15.35575653
4/30/2023,17.61234524
5/31/2023,8.849251152
6/30/2023,25.77178571
7/31/2023,34.71155914
8/31/2023,33.25975422
9/30/2023,36.96261905
10/31/2023,35.61432412
11/30/2023,20.34229365
12/31/2023,18.92729276
1/31/2024,15.48034483
