Date,P_Lake,TP_Lake_S
1/31/2008,249.4807727,262.9209846
2/29/2008,238.1007465,244.4508074
3/31/2008,224.6159418,234.0727038
4/30/2008,213.4368321,226.6725983
5/31/2008,192.1022979,207.8989146
6/30/2008,177.1147324,191.3081494
7/31/2008,176.0410435,186.1655435
8/31/2008,171.6924263,188.5598697
9/30/2008,186.1415232,210.3307757
10/31/2008,174.7685602,191.5764225
11/30/2008,184.0630756,171.7400376
12/31/2008,243.9340778,160.9051333
1/31/2009,225.8944731,150.8863718
2/28/2009,204.072274,144.1507212
3/31/2009,181.7635108,135.6820722
4/30/2009,160.7069536,127.6344403
5/31/2009,146.6185886,124.2922919
6/30/2009,146.7884793,135.2117007
7/31/2009,142.1999313,140.8609344
8/31/2009,135.1045074,139.0466847
9/30/2009,136.1626197,132.209974
10/31/2009,142.673993,122.0222712
11/30/2009,140.0853055,111.561352
12/31/2009,136.9972464,106.0935803
1/31/2010,129.6468477,102.3060131
2/28/2010,122.8268225,101.7527522
3/31/2010,119.2757208,105.4883721
4/30/2010,120.5396159,113.4476961
5/31/2010,113.897701,112.2040772
6/30/2010,109.7046473,106.4490834
7/31/2010,116.9872005,101.7094497
8/31/2010,117.0698721,97.81789178
9/30/2010,111.3491123,96.19509333
10/31/2010,107.9429637,91.04887689
11/30/2010,102.4356829,86.20478729
12/31/2010,102.3275485,84.13893906
1/31/2011,102.5656319,85.65089304
2/28/2011,99.88844605,86.97030294
3/31/2011,96.14223586,86.8544397
4/30/2011,94.32912609,88.65547553
5/31/2011,96.56557959,93.96351534
6/30/2011,106.6086491,105.9652865
7/31/2011,116.6628953,116.9101518
8/31/2011,121.3081898,123.2012605
9/30/2011,123.168506,128.4845057
10/31/2011,127.4341121,137.5397305
11/30/2011,139.6233968,151.1889708
12/31/2011,136.7712794,143.8216048
1/31/2012,148.2439657,136.8587195
2/29/2012,168.8716898,134.6255192
3/31/2012,161.5027412,132.929336
4/30/2012,149.5076652,128.5541273
5/31/2012,144.3705482,129.3616695
6/30/2012,139.8683478,130.691498
7/31/2012,136.8907385,133.4869339
8/31/2012,131.9357739,133.0848025
9/30/2012,141.9045976,151.5090991
10/31/2012,142.7687963,156.1413104
11/30/2012,139.7221655,149.2363414
12/31/2012,181.9292905,144.7958195
1/31/2013,205.3853073,144.6196461
2/28/2013,199.4222236,144.0027011
3/31/2013,188.7967962,144.5122044
4/30/2013,180.5274023,144.2724875
5/31/2013,170.7683499,144.2386888
6/30/2013,164.853027,148.1852113
7/31/2013,166.8734694,166.0034149
8/31/2013,170.1506512,183.2433704
9/30/2013,166.4607293,180.7143116
10/31/2013,189.1682634,176.6211012
11/30/2013,213.9899165,169.0530418
12/31/2013,215.0038508,165.0467759
1/31/2014,213.6527663,162.6341642
2/28/2014,206.535165,164.5616117
3/31/2014,194.2426502,161.7572012
4/30/2014,181.873017,158.7013512
5/31/2014,173.0190717,156.6067793
6/30/2014,164.538664,153.9003592
7/31/2014,160.2630683,158.0770229
8/31/2014,158.8717773,164.1527856
9/30/2014,156.5861441,162.2087321
10/31/2014,168.0426662,167.313243
11/30/2014,177.5237216,163.0183077
12/31/2014,178.1626912,161.2457533
1/31/2015,186.7131042,160.8986739
2/28/2015,185.7060709,165.1186191
3/31/2015,184.4300032,171.1132337
4/30/2015,175.2470113,166.2096624
5/31/2015,169.1139015,164.7182357
6/30/2015,163.196358,157.6041493
7/31/2015,155.2631433,151.6762326
8/31/2015,155.9188289,152.3751408
9/30/2015,164.0625849,167.4597033
10/31/2015,166.9743859,175.7051153
11/30/2015,163.7207203,170.3758233
12/31/2015,174.1840104,167.044138
1/31/2016,180.9734193,166.0980692
2/29/2016,189.9168577,182.1496495
3/31/2016,188.909848,181.9913763
4/30/2016,185.5553918,177.995555
5/31/2016,202.1595782,175.5367951
6/30/2016,215.8831858,193.2325285
7/31/2016,212.9613072,199.6307444
8/31/2016,201.4986,191.9051925
9/30/2016,208.6718656,192.3982352
10/31/2016,218.779083,204.3835278
11/30/2016,207.9871521,197.4377083
12/31/2016,208.295943,188.0646824
1/31/2017,216.7926603,180.8084768
2/28/2017,209.1996766,175.7133167
3/31/2017,195.1444963,169.3086575
4/30/2017,183.6083515,163.8416714
5/31/2017,177.3296662,161.8403845
6/30/2017,180.0242617,167.7855379
7/31/2017,179.5921956,173.9651031
8/31/2017,176.9693445,176.4511376
9/30/2017,189.2606615,192.8388558
10/31/2017,226.770342,229.8250024
11/30/2017,231.4049076,232.3026928
12/31/2017,256.8471192,222.7876728
1/31/2018,316.2100539,217.5667926
2/28/2018,326.6013973,219.36984
3/31/2018,306.9011336,214.4529128
4/30/2018,281.9082618,206.6803611
5/31/2018,263.7083197,204.9059342
6/30/2018,262.0441643,224.5233419
7/31/2018,251.5093958,232.8530568
8/31/2018,243.2371996,235.0918759
9/30/2018,254.9606573,235.7718598
10/31/2018,254.2252684,227.8520779
11/30/2018,246.0668176,215.2786536
12/31/2018,228.7243546,196.7680901
