Date,P_Load_Cal,P_Load_StL,P_Load_South
1/31/2008,0,0,0
2/29/2008,0,0,0
3/31/2008,0,0,0
4/30/2008,0,0,0
5/31/2008,0,0,0
6/30/2008,0,0,0
7/31/2008,0,0,0
8/31/2008,0,0,0
9/30/2008,23.07414139,14.11178406,2.714018915
10/31/2008,14.03876992,10.49145823,3.984220274
11/30/2008,0,0,2.309341875
12/31/2008,2.267913628,0,3.458800562
1/31/2009,4.499001581,0,2.050817694
2/28/2009,3.943387691,0,2.776766769
3/31/2009,0.615916098,0,0
4/30/2009,0,0,0
5/31/2009,0,0,0
6/30/2009,0,0,0
7/31/2009,0,0,0
8/31/2009,1.900217787,1.229978368,1.343246743
9/30/2009,8.665057672,4.554482141,1.986163896
10/31/2009,0,0,1.913168391
11/30/2009,3.001635384,0,2.235507004
12/31/2009,0,0,6.448654364
1/31/2010,0.520230756,0,6.113969183
2/28/2010,1.368720595,0,2.809634926
3/31/2010,2.829897354,1.286954407,1.78401185
4/30/2010,11.82458524,7.495697079,2.158303801
5/31/2010,14.22667532,11.90964281,1.789338416
6/30/2010,0.989595743,0.709599944,2.268285445
7/31/2010,9.080006311,6.449710922,1.870879142
8/31/2010,0.667768492,0.395887185,1.841667958
9/30/2010,0,0,0.284930723
10/31/2010,0.688914181,0,1.409126971
11/30/2010,0,0,1.704423839
12/31/2010,0,0,0
1/31/2011,0,0,0
2/28/2011,0,0,0
3/31/2011,0,0,0
4/30/2011,0,0,0
5/31/2011,0,0,0
6/30/2011,0,0,0
7/31/2011,0,0,0
8/31/2011,0,0,0
9/30/2011,0,0,0
10/31/2011,0,0,0
11/30/2011,0,0,0.182985956
12/31/2011,3.65960387,0,4.760694279
1/31/2012,3.439129977,0,3.231338017
2/29/2012,3.40044155,0,3.946252871
3/31/2012,4.187676146,0,0.88555225
4/30/2012,3.503359879,0,0
5/31/2012,2.870228927,0,0
6/30/2012,2.368496151,0,0
7/31/2012,0,0,0.624807444
8/31/2012,0,0,2.887408453
9/30/2012,11.54414436,5.370013909,2.647732917
10/31/2012,19.33077403,10.50361311,6.677328502
11/30/2012,11.45304918,9.481160054,8.418049111
12/31/2012,5.023206796,2.402442472,7.872648891
1/31/2013,6.183328422,2.69165105,8.166050234
2/28/2013,2.679183622,1.422805684,7.107887477
3/31/2013,0,0,7.639286507
4/30/2013,0,0,7.01213718
5/31/2013,0,0,5.822964584
6/30/2013,0,0,3.170642569
7/31/2013,18.33535056,4.397054309,3.194489082
8/31/2013,64.05881216,20.70014501,2.683814935
9/30/2013,31.79476139,5.706511041,5.422414139
10/31/2013,22.2474305,7.784166318,6.762294923
11/30/2013,3.977798193,0,3.422268285
12/31/2013,3.777607124,0,9.616269757
1/31/2014,17.97750623,14.09297493,7.41262431
2/28/2014,18.80583506,14.58776296,1.242798401
3/31/2014,17.17560288,13.75999612,5.58926499
4/30/2014,2.12171033,0.902762711,11.15638636
5/31/2014,3.588355592,0,1.573013617
6/30/2014,0.884720975,0,0
7/31/2014,6.605199569,3.968227232,0
8/31/2014,17.42996934,13.51015454,0
9/30/2014,1.127301385,0.96625833,0
10/31/2014,20.08870026,15.31675044,9.876623515
11/30/2014,2.307360928,0,4.60924601
12/31/2014,10.70570412,8.103559268,8.997878804
1/31/2015,20.7453954,17.96386922,8.871269399
2/28/2015,19.22921863,15.98298264,9.364027833
3/31/2015,22.0624049,18.39905099,7.487856532
4/30/2015,17.07906906,14.33234167,8.458450187
5/31/2015,15.2759772,12.41979925,8.856523563
6/30/2015,0,0,2.187379041
7/31/2015,0,0,3.18073476
8/31/2015,0,0,3.467060222
9/30/2015,14.65905977,5.959044006,3.687373616
10/31/2015,17.18716063,11.59230853,3.82954053
11/30/2015,7.273437248,3.283162304,3.751585026
12/31/2015,10.95083929,6.582675392,9.798234912
1/31/2016,22.04156347,14.38300309,0.210545614
2/29/2016,49.97385758,13.03114564,1.514188788
3/31/2016,37.79724364,13.47613792,5.980849712
4/30/2016,29.62238925,20.74526541,8.757966047
5/31/2016,24.21307994,18.5544928,0.643225785
6/30/2016,28.36547914,21.24368716,0
7/31/2016,32.50221296,26.79290015,0
8/31/2016,20.48321586,16.10462648,0
9/30/2016,27.13893252,20.79562704,0
10/31/2016,29.70606311,12.78213834,0
11/30/2016,6.285990121,0,0
12/31/2016,5.622036312,0,0
1/31/2017,5.23882875,0,0
2/28/2017,4.495467247,0,0
3/31/2017,18.64059168,15.89592558,0
4/30/2017,6.443583995,2.439587353,0
5/31/2017,4.447674511,0,0
6/30/2017,0.577003377,0,0
7/31/2017,0,0,0
8/31/2017,9.096367467,5.452556582,0
9/30/2017,49.01191952,28.75909844,0
10/31/2017,116.4138481,72.14740258,0
11/30/2017,77.50133783,25.34672663,0
12/31/2017,17.57083863,12.56283761,0
1/31/2018,26.24596286,22.87370015,0
2/28/2018,17.38967978,13.54742938,0
3/31/2018,27.6560974,24.40311079,0
4/30/2018,21.23768323,17.94919226,0
5/31/2018,11.50815678,0.121922126,0
6/30/2018,24.53793878,13.48682091,0
7/31/2018,29.34170961,21.34031858,0
8/31/2018,29.45410316,23.00947569,0
9/30/2018,28.03895986,20.41594866,3.0709354
10/31/2018,3.950684727,1.368706965,4.746908346
11/30/2018,0,0,2.87772315
12/31/2018,4.108693502,0,4.251630244
